	ITS001	ITS002	ITS003	ITS004	ITS005	ITS006	ITS007	ITS008	ITS009	ITS010	ITS011	ITS012	ITS013	ITS014	ITS015	ITS016	ITS017	ITS018	ITS019	ITS020	ITS021	ITS022	ITS023	ITS026	ITS027	ITS028	ITS029	ITS030	ITS031	ITS033	ITS034	ITS037	ITS039	ITS040	ITS043	ITS044	ITS045	ITS046	ITS047	ITS048	ITS049	ITS050	ITS051	ITS052	ITS053	ITS054	ITS055	ITS056	ITS057	ITS058	ITS059	ITS060	ITS061	ITS062	ITS063	ITS064	ITS065	ITS066	ITS067	ITS068	ITS069	ITS070	ITS072	ITS073	ITS074	ITS075	ITS076	ITS077	ITS078	ITS079	ITS080	ITS081	ITS083	ITS084	ITS085	ITS086	ITS087	ITS088	ITS089	ITS090	ITS091	ITS092	ITS093	ITS094	ITS095	ITS097	ITS098	ITS099	ITS100	ITS101	ITS102	ITS103	ITS104	ITS105	ITS106	ITS107	ITS109	ITS110	ITS111	ITS112	ITS113	ITS114	ITS115	ITS116	ITS117	ITS118	ITS119	ITS120	ITSExtNeg1	ITSExtNeg2	ITSExtNeg3	ITSMock1	ITSMock2	ITSMock3	ITSPCRNeg1	ITSPCRNeg2	ITSPCRNeg3
ASV_1	12687	16960	24330	20137	22709	17224	19803	0	0	0	0	0	0	0	674	24211	23437	20736	22410	18753	0	0	0	0	0	4076	5029	7439	28267	21215	26778	87	0	0	724	1047	1083	528	1153	730	893	0	0	0	0	0	0	0	704	288	653	385	1005	1137	0	0	0	0	0	0	0	735	0	0	0	558	967	0	0	0	0	0	6943	0	0	0	5861	9718	8979	0	0	0	0	0	0	138	0	0	0	7382	8446	0	0	0	0	0	0	0	0	149	596	8350	7932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	0	0	0	0	0	0	0	0	304	456	0	165	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	446	1925	873	1154	677	816	670	9421	7185	3113	6299	9496	7710	10479	626	1048	1657	1588	736	630	386	7935	9100	30347	15937	9165	1297	1079	41	537	482	397	347	31287	15606	12906	8605	8336	0	0	0	0	141	186	146	8662	693	13624	12576	9671	7980	0	0	0	0	73	91	142	8859	1033	11809	5991	66	0	0	0	0	108	229	10275	10207	9043	5178	7774	0	1176	0	0	0	0	0	0	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	11	1514	985	87	0	148	16	0	0	0	0	0	0	2113	3234	1236	1337	87	0	0	0	0	0	0	0	0	0	31861	6144	5873	856	289	0	0	0	0	0	0	24510	16084	13330	0	0	0	0	0	0	0	0	0	0	21645	22314	18056	0	0	0	0	0	0	0	0	0	38580	22524	17258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	4115	5664	8328	6741	6031	5253	6328	0	0	0	0	0	0	0	0	7451	7023	5780	6848	4120	0	0	0	0	0	1096	1861	2098	9270	6206	7434	0	0	0	252	2278	2769	1067	0	294	483	0	0	0	0	0	0	0	213	896	1265	751	218	960	0	0	0	0	0	0	0	154	46	389	332	335	0	0	0	0	0	0	6669	32	0	0	5054	8328	7984	0	0	0	0	0	0	0	84	84	0	6567	8373	0	0	0	0	0	0	0	0	122	0	7321	7077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	10144	3658	4762	4256	2040	4742	3258	0	0	0	0	0	0	0	6458	1883	437	3376	6420	2277	0	0	0	0	0	15996	0	0	2115	395	607	0	951	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1851	0	0	0	6050	1260	1668	0	0	146	0	0	0	20575	0	0	0	2089	1478	0	0	0	0	160	0	31130	0	0	0	2257	1927	0	0	0	205	0	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	8	0	0	0	183	0	155	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	7893	604	1172	361	9586	12349	8041	0	451	211	0	2729	1772	627	6040	535	683	381	10101	8896	0	2280	1110	12	0	228	0	3263	0	164	133	5311	6422	0	0	858	0	1715	240	13	6	0	264	480	742	476	0	0	0	563	199	0	0	0	0	393	322	0	205	152	0	0	9	0	0	0	103	527	447	0	0	0	131	318	0	666	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26629	40132	33022	0	0	0
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3658	1703	2316	5333	3831	3476	3648	0	0	0	0	0	0	2725	5078	5859	0	8671	1598	614	0	0	0	0	0	0	0	2886	3567	6107	8716	0	37	0	0	0	0	0	1135	106	2040	1573	896	810	0	0	0	0	0	0	2721	1140	304	1783	2530	442	0	0	0	0	0	0	1292	1497	1374	1020	1010	0	0	0	0	0	0	0	0	0
ASV_9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	3711	1640	3423	2439	59	2711	0	0	0	0	0	0	0	327	6370	5561	4096	2041	2334	0	8	0	0	0	0	0	6075	422	5706	5587	4013	7799	0	0	0	0	0	53	2694	1872	1657	131	37	63	8	0	3	0	3	0	0	2565	2183	2632	121	68	0	0	0	0	0	0	0	27	4279	3623	131	0	0	0	0	17	28	0	0	0	0	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	56	505	13	0	0	0	12	0	0	0	0	15	0	1913	1127	693	0	0	15646	69	0	0	0	35	154	0	49	794	1214	0	0	0	58	58	67	0	0	0	0	0	0	0	0	2440	90	673	182	1419	2229	0	0	0	0	0	0	5387	2766	1512	386	0	8444	0	0	0	0	0	457	1184	1247	1440	2079	2645	0	8393	0	0	0	0	0	0	0
