ID,Beverage,Treatment,Day,SPC,APDA,Trial ,Sample_or_Control,Shelf_Life_Stage,Spoilage,citric,tartaric,malic,lactic,acetic,glucose,fructose,EtOH,Brix,pH
16S001,Orange Juice,No Treatment,0,3.477121255,3.991226076,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S002,Orange Juice,Pasteurization,0,0,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S003,Orange Juice,Pasteurization + SB + PS,0,0,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S004,Orange Juice,Pasteurization + DMDC + NG,0,0,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S005,Orange Juice,UV,0,2.305351369,3.086715664,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S006,Orange Juice,HPP,0,0.602059991,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S007,Orange Juice,HPP + DMDC + NG,0,0,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S009,Cider,Pasteurization,0,0.301029996,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S010,Cider,Pasteurization + SB + PS,0,1.146128036,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S011,Cider,Pasteurization + DMDC + NG,0,0.698970004,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S012,Cider,UV,0,2.08278537,2.045322979,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16S013,Cider,HPP,0,1.301029996,0,1,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
